facility_id,facility_name,city,state,overall_rating,nurse_communication,doctor_communication,discharge_information,patient_recommendation
020026,ALASKA NATIVE MEDICAL CENTER,ANCHORAGE,AK,3,89,89,83,85
020017,ALASKA REGIONAL HOSPITAL,ANCHORAGE,AK,3,91,90,85,87
020001,PROVIDENCE ALASKA MEDICAL CENTER,ANCHORAGE,AK,3,91,90,90,91
021312,SAMUEL SIMMONDS MEMORIAL HOSPITAL,BARROW,AK,,,,,
020018,YUKON KUSKOKWIM DELTA REG HOSPITAL,BETHEL,AK,3,90,90,79,87
021307,CORDOVA COMMUNITY MEDICAL CENTER,CORDOVA,AK,,,,,
021309,BRISTOL BAY DBA KANAKANAK HOSPITAL,DILLINGHAM,AK,,,,,
020012,FAIRBANKS MEMORIAL HOSPITAL,FAIRBANKS,AK,3,91,90,87,88
02014F,Bassett ACH (FT Wainwright),Fort Wainwright,AK,4,93,94,89,93
021313,SOUTH PENINSULA HOSPITAL,HOMER,AK,,,,,
02013F,673rd Medical Group (Joint Base Elmendorf-Richardson),JBER,AK,4,96,94,89,92
020008,BARTLETT REGIONAL HOSPITAL,JUNEAU,AK,4,93,95,88,93
021311,PEACEHEALTH KETCHIKAN MEDICAL CENTER,KETCHIKAN,AK,4,93,92,82,90
021306,PROVIDENCE KODIAK ISLAND MEDICAL CTR,KODIAK,AK,,,,,
021310,MANIILAQ HEALTH CENTER,KOTZEBUE,AK,,,,,
021308,NORTON SOUND REGIONAL HOSPITAL,NOME,AK,,,,,
020006,MAT-SU REGIONAL MEDICAL CENTER,PALMER,AK,4,92,91,90,88
021304,PETERSBURG MEDICAL CENTER,PETERSBURG,AK,,,,,
021302,PROVIDENCE SEWARD HOSPITAL,SEWARD,AK,,,,,
021314,SOUTHEAST ALASKA REGIONAL HEALTH CONSORTIUM,SITKA,AK,,,,,
020024,CENTRAL PENINSULA GENERAL HOSPITAL,SOLDOTNA,AK,4,92,91,89,90
021301,PROVIDENCE VALDEZ MEDICAL CENTER,VALDEZ,AK,,,,,
021305,SEARHC WRANGELL MEDICAL CENTER & LTC,WRANGELL,AK,,,,,
010016,SHELBY BAPTIST MEDICAL CENTER,ALABASTER,AL,2,89,90,82,83
010065,RUSSELL MEDICAL CENTER,ALEXANDER CITY,AL,3,92,88,87,87
010036,ANDALUSIA HEALTH,ANDALUSIA,AL,3,92,92,78,82
010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,ANNISTON,AL,2,88,87,83,79
010073,CLAY COUNTY HOSPITAL,ASHLAND,AL,,,,,
010079,ATHENS LIMESTONE HOSPITAL,ATHENS,AL,4,94,93,88,90
010169,ATMORE COMMUNITY HOSPITAL,ATMORE,AL,,,,,
010129,NORTH BALDWIN INFIRMARY,BAY MINETTE,AL,5,95,95,88,92
010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",BESSEMER,AL,3,88,92,79,86
01014F,BIRMINGHAM VA MEDICAL CENTER,BIRMINGHAM,AL,4,92,93,88,88
010104,GRANDVIEW MEDICAL CENTER,BIRMINGHAM,AL,3,90,91,85,88
010103,PRINCETON BAPTIST MEDICAL CENTER,BIRMINGHAM,AL,3,90,92,81,83
010056,ST VINCENT'S BIRMINGHAM,BIRMINGHAM,AL,3,88,91,83,86
010011,ST. VINCENT'S EAST,BIRMINGHAM,AL,3,90,91,85,86
013300,THE CHILDREN'S HOSPITAL OF ALABAMA,BIRMINGHAM,AL,,,,,
010018,UAB CALLAHAN EYE HOSPITAL AUTHORITY,BIRMINGHAM,AL,,,,,
010033,UNIVERSITY OF ALABAMA HOSPITAL,BIRMINGHAM,AL,4,91,92,88,91
010005,MARSHALL MEDICAL CENTERS,BOAZ,AL,3,90,92,85,84
010099,D W MCMILLAN MEMORIAL HOSPITAL,BREWTON,AL,3,90,89,84,84
011304,OCHSNER CHOCTAW GENERAL,BUTLER,AL,,,,,
010781,J PAUL JONES HOSPITAL,CAMDEN,AL,,,,,
010022,FLOYD CHEROKEE MEDICAL CENTER,CENTRE,AL,,,,,
010058,BIBB MEDICAL CENTER,CENTREVILLE,AL,,,,,
011300,WASHINGTON COUNTY HOSPITAL,CHATOM,AL,,,,,
010173,ST VINCENT'S CHILTON,CLANTON,AL,,,,,
010035,CULLMAN REGIONAL MEDICAL CENTER,CULLMAN,AL,3,92,90,83,85
010052,LAKE MARTIN COMMUNITY HOSPITAL,DADEVILLE,AL,5,94,95,92,92
010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,DECATUR,AL,4,92,92,88,85
010112,WHITFIELD REGIONAL HOSPITAL,DEMOPOLIS,AL,3,89,93,81,82
010055,FLOWERS HOSPITAL,DOTHAN,AL,3,90,90,83,85
010001,SOUTHEAST HEALTH MEDICAL CENTER,DOTHAN,AL,4,90,92,86,91
010049,MEDICAL CENTER ENTERPRISE,ENTERPRISE,AL,3,92,92,85,84
011307,MEDICAL CENTER BARBOUR,EUFAULA,AL,,,,,
010051,GREENE COUNTY HOSPITAL,EUTAW,AL,,,,,
010148,EVERGREEN MEDICAL CENTER,EVERGREEN,AL,4,93,97,86,89
010100,THOMAS HOSPITAL,FAIRHOPE,AL,3,92,92,85,89
010045,FAYETTE MEDICAL CENTER,FAYETTE,AL,5,96,96,90,92
010006,NORTH ALABAMA MEDICAL CENTER,FLORENCE,AL,2,89,87,82,80
010083,BALDWIN HEALTH,FOLEY,AL,3,92,91,83,86
010012,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,3,93,91,86,84
010040,GADSDEN REGIONAL MEDICAL CENTER,GADSDEN,AL,2,88,88,81,80
010046,RIVERVIEW REGIONAL MEDICAL CENTER,GADSDEN,AL,3,91,87,87,89
010062,WIREGRASS MEDICAL CENTER,GENEVA,AL,,,,,
011309,WIREGRASS MEDICAL CENTER,GENEVA,AL,,,,,
010095,HALE COUNTY HOSPITAL,GREENSBORO,AL,,,,,
010150,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,GREENVILLE,AL,,,,,
010091,GROVE HILL MEMORIAL HOSPITAL,GROVE HILL,AL,,,,,
010125,LAKELAND COMMUNITY HOSPITAL,HALEYVILLE,AL,,,,,
010044,MARION REGIONAL MEDICAL CENTER,HAMILTON,AL,,,,,
010131,CRESTWOOD MEDICAL CENTER,HUNTSVILLE,AL,3,90,90,79,84
010039,HUNTSVILLE HOSPITAL,HUNTSVILLE,AL,4,92,92,87,90
010128,JACKSON MEDICAL CENTER,JACKSON,AL,,,,,
010089,WALKER BAPTIST MEDICAL CENTER,JASPER,AL,2,89,89,81,79
011308,CRENSHAW COMMUNITY HOSPITAL,LUVERNE,AL,,,,,
010113,MOBILE INFIRMARY MEDICAL CENTER,MOBILE,AL,3,90,91,86,84
010144,SPRINGHILL MEDICAL CENTER,MOBILE,AL,3,89,90,86,88
013301,USA HEALTH CHILDREN'S & WOMEN'S HOSPITAL,MOBILE,AL,,,,,
010090,"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",MOBILE,AL,3,88,89,84,83
010087,USA HEALTH UNIVERSITY HOSPITAL,MOBILE,AL,3,90,91,85,88
010120,MONROE COUNTY HOSPITAL,MONROEVILLE,AL,,,,,
010149,BAPTIST MEDICAL CENTER EAST,MONTGOMERY,AL,3,91,91,86,91
010023,BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,AL,3,90,89,84,86
